Tweets,team,id,account,len,date,likes,retweets,#hashtag
"🔒 @mrvincecarter15 🔒

#TrueToAtlanta https://t.co/xV46M5i6Hs",Atlanta Hawks,1099435986088411136,@ATLHawks,60,2019-02-23 22:29:00,16,4,1
"And updated @emoryhealthcare injury report for tonight’s game:

Kevin Huerter - Out
Miles Plumlee - Out https://t.co/byvKp8YuZd",Atlanta Hawks,1099429147137454081,@ATLHawks,127,2019-02-23 22:01:49,12,3,0
"🔨🔨🔨

#TrueToAtlanta | @SharecareInc https://t.co/bM9KgZyBCm",Atlanta Hawks,1099410317065502720,@ATLHawks,59,2019-02-23 20:47:00,22,0,1
.@KennethNugent is donating $3 to the Hawks Foundation for #scoreforscholarships with every point we score this sea… https://t.co/MV4r3WUqqu,Atlanta Hawks,1099398996206923781,@ATLHawks,140,2019-02-23 20:02:01,18,3,1
"That boy @TheTraeYoung is a magician. 

Your @SharecareInc share of the game. 

#TrueToAtlanta https://t.co/Ljmp2C4iPw",Atlanta Hawks,1099386912693833730,@ATLHawks,118,2019-02-23 19:14:00,112,18,1
We've partnered with @PCFnews to donate $250 for every assist we tally in the month of February. This is where we s… https://t.co/TENhxlCM4E,Atlanta Hawks,1099371814080266240,@ATLHawks,140,2019-02-23 18:14:00,15,4,0
"""He's still got it.""

🗣 WE KNOW THIS.

@mrvincecarter15 goes for 1⃣6⃣ points in 1⃣6⃣ minutes.

#TrueToAtlanta 

🎥⤵️ https://t.co/r1KukSFBaV",Atlanta Hawks,1099371059407736832,@ATLHawks,139,2019-02-23 18:11:00,100,19,1
"An @emoryhealthcare injury report for tonight’s game:

Kevin Huerter - Doubtful
Miles Plumlee - Out https://t.co/yqnMxvaV3i",Atlanta Hawks,1099355279278379008,@ATLHawks,123,2019-02-23 17:08:18,13,2,0
"Y'all ready to get down for the culture?

Come rep YOUR school at HBCU Night as we take on the @Suns 

🎟:… https://t.co/MzxMafsoGU",Atlanta Hawks,1099353442844372992,@ATLHawks,130,2019-02-23 17:01:00,36,8,0
"Snaps from last night.

#TrueToAtlanta 

📸 GALLERY » https://t.co/xWK6HVrkAT https://t.co/BbLeI1MPki",Atlanta Hawks,1099334819647877120,@ATLHawks,100,2019-02-23 15:47:00,50,5,1
"Today's game is also a @ChickfilA Fan Pack night! Grab 4 tickets and 4 chicken sandwich meals for a great price!

🐔… https://t.co/jE9r3qgGB4",Atlanta Hawks,1099315693860745218,@ATLHawks,140,2019-02-23 14:31:00,19,3,0
".@TheTraeYoung was having it his way last night.

3⃣0⃣ PTS | 🔟 AST

#TrueToAtlanta 

🎥⤵️ https://t.co/9nmq9QKoTe",Atlanta Hawks,1099308647656669184,@ATLHawks,112,2019-02-23 14:03:00,450,106,1
